"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Pinus contorta|Pinus contorta var. murrayana|Pinus contorta var. latifolia","SRX10204114|SRX10204113|SRX10204112|SRX8829192|SRX6261327|SRX5814110|SRX5449245|SRX5449244|SRX5449243|SRX5449242|SRX5449241|SRX5449240|SRX5449239|SRX5449238|SRX5449237|SRX5449236|SRX5449235|SRX5449233|SRX5449230|SRX5449228|SRX5449227|SRX5449226|SRX5449225|SRX5449224|SRX5449223|SRX5449222|SRX5449221|SRX5449220|SRX5449219|SRX5449218|SRX5449217|SRX5449216|SRX5449215|SRX5449214|SRX5449211|SRX5449201|SRX5449200|SRX5449198|SRX5449197|SRX5449196|SRX5449195|SRX5449194|SRX5449193|SRX5449192|SRX5449191|SRX5449190|SRX5449189|SRX5449188|SRX5449183|SRX5449180|SRX5449177|SRX5449176|SRX5449175|SRX5449174|SRX5449173|SRX5449172|SRX5449163|SRX5449162|SRX5449160|SRX5449159|SRX5449158|SRX5449155|SRX5449154|SRX5449153|SRX5449152|SRX5449143|SRX5449142|SRX5449141|SRX5449140|SRX5449139|SRX5449138|SRX5449135|SRX5449134|SRX5449133|SRX5449132|SRX5449131|SRX5449130|SRX5449129|SRX5449128|SRX5449127|SRX5449126|SRX5449125|SRX5449124|SRX5449123|SRX5449122|SRX5449121|SRX5449120|SRX5449119|SRX5449118|SRX5449117|SRX5449115|SRX5449114|SRX5449109|SRX5449108|SRX5449107|SRX5449106|SRX5449097|SRX5449096|SRX5449093|SRX5449092|SRX5449091|SRX5449090|SRX5449081|SRX5449080|SRX5449079|SRX5449078|SRX5449075|SRX5449074|SRX5449073|SRX5449072|SRX5449071|SRX5449069|SRX5449068|SRX5449067|SRX5449066|SRX5449063|SRX5449062|SRX5449061|SRX5449058|SRX5449056|SRX5449040|SRX5449039|SRX5449038|SRX5449037|SRX5449036|SRX5449035|SRX5449023|SRX5449022|SRX5449019|SRX5449018|SRX5449017|SRX5449016|SRX5449006|SRX5449005|SRX5449004|SRX5449003|SRX5449002|SRX5449001|SRX5449000|SRX5448999|SRX5448998|SRX5448997|SRX5448996|SRX5448995|SRX5448994|SRX5448993|SRX5448992|SRX5448991|SRX5448990|SRX5448989|SRX5448988|SRX5448987|SRX5448986|SRX5448985|SRX5448984|SRX5448983|SRX5448982|SRX5448981|SRX5448980|SRX5448979|SRX5448978|SRX5448977|SRX5448976|SRX5448975|SRX5448972|SRX5448971|SRX5448970|SRX5448966|SRX5448965|SRX5448964|SRX5448963|SRX5448962|SRX5448961|SRX5448960|SRX5448959|SRX5448958|SRX5448957|SRX5448956|SRX5448955|SRX5448954|SRX5448953|SRX5448952|SRX5448951|SRX5448950|SRX5448949|SRX5448948|SRX5448947|SRX5448946|SRX5448945|SRX5448944|SRX5448943|SRX5448942|SRX5448941|SRX5448940|SRX5448939|SRX5448938|SRX5448937|SRX5448936|SRX1633518|SRX1633517|SRX1633516|SRX1633515|SRX1633514|SRX1633513|SRX1633512|SRX1633511|SRX1633510|SRX1633509|SRX1633508|SRX1633507|SRX1633506|SRX1633505|SRX1633504|SRX1633503|SRX1633502|SRX1633501|SRX1633500|SRX1633499|SRX1633498|SRX1633497|SRX1633496|SRX1633495|SRX1633494|SRX1633493|SRX1633492|SRX1633491|SRX1633490|SRX1633489|SRX1633488|SRX1633487|SRX1633486|SRX1633485|SRX1633484|SRX1633483|SRX1633482|SRX1633481|SRX1633480|SRX1633479|SRX1633478|SRX1633477|SRX1633476|SRX1633475|SRX1633474|SRX1633473|SRX1633472|SRX1633471|SRX1633470|SRX1633469|SRX1633468|SRX1633467|SRX1633466|SRX1633465|SRX1633464|SRX1633463|SRX1633462|SRX1633461|SRX1633460|SRX1633459|SRX1633458|SRX1633457|SRX1633456|SRX1633455|SRX1633454|SRX1633453|SRX1633452|SRX1633451|SRX1633450|SRX1633449|SRX1633448|SRX1633447|SRX1633446|SRX1633445|SRX1633444|SRX1633443|SRX1633442|SRX1633441|SRX1633440|SRX1633439|SRX1633438|SRX1633437|SRX1633436|SRX1633435|SRX1633434|SRX1633433|SRX1633432|SRX1633431|SRX1633430|SRX1633429|SRX1633428|SRX1633427|SRX1633426|SRX1633425|SRX1633424|SRX1633423|SRX1633422|SRX1633421|SRX1633420|SRX1633419|SRX1633418|SRX1633417|SRX1633416|SRX1633415|SRX1633414|SRX1633413|SRX1633412|SRX1633411|SRX1633410|SRX1633409|SRX1633408|SRX1633407|SRX1633406|SRX1633405|SRX1633404|SRX1633402|SRX1633401|SRX1633400|SRX1633399|SRX1633398|SRX1633397|SRX1633396|SRX1633395|SRX1633394|SRX1633393|SRX1633392|SRX1633391|SRX1633390|SRX1633389|SRX1633388|SRX1633387|SRX1633386|SRX1633385|SRX1633384|SRX1633383|SRX1633382|SRX1633381|SRX1633380|SRX1633379|SRX1633378|SRX1633377|SRX1633376|SRX1633375|SRX1633374|SRX1633373|SRX1633372|SRX1633371|SRX1633370|SRX1633369|SRX1633368|SRX1633367|SRX1633366|SRX1633365|SRX1633364|SRX1633363|SRX1633361|SRX1633360|SRX1633359|SRX1633358|SRX1633357|SRX1633356|SRX1633355|SRX1633354|SRX1633353|SRX1633352|SRX1633351|SRX1633350|SRX1633349|SRX1633348|SRX1633347|SRX1633346|SRX1633345|SRX1633344|SRX1633343|SRX1633342|SRX1633341|SRX1633340|SRX1633339|SRX1633338|SRX1633337|SRX1633336|SRX1633335|SRX1633334|SRX1633333|SRX1633332|SRX1633331|SRX1633330|SRX1633329|SRX1633328|SRX1633327|SRX1633326|SRX1633325|SRX1633324|SRX1633323|SRX1633322|SRX1633321|SRX1633320|SRX1633319|SRX1633318|SRX1633317|SRX1633316|SRX1633315|SRX1633314|SRX1633313|SRX1633312|SRX1633311|SRX1633310|SRX1633309|SRX1633308|SRX1633307|SRX1633306|SRX1633305|SRX1633304|SRX1633303|SRX1633302|SRX1633301|SRX1633300|SRX1633299|SRX1633298|SRX1633297|SRX1633296|SRX1633295|SRX1633294|SRX1633293|SRX1633292|SRX1633291|SRX1633290|SRX1633289|SRX1633288|SRX1633287|SRX1633286|SRX1633285|SRX1633284|SRX1633283|SRX1633282|SRX1633281|SRX1633280|SRX1633279|SRX1633278|SRX1633277|SRX1633275|SRX1633274|SRX1633273|SRX1633272|SRX1633271|SRX1633270|SRX1633269|SRX1633268|SRX1633267|SRX1633266|SRX1633265|SRX1633264|SRX1633263|SRX1633262|SRX1633261|SRX1633260|SRX1633259|SRX1633258|SRX1633257|SRX1633256|SRX1633255|SRX1633254|SRX1633253|SRX1633252|SRX1633251|SRX1633250|SRX1633249|SRX1633248|SRX1633247|SRX1633246|SRX1633245|SRX1633244|SRX1633243|SRX1633242|SRX1633241|SRX1633240|SRX1633239|SRX1633238|SRX1633237|SRX1633236|SRX1633235|SRX1633234|SRX1633233|SRX1633232|SRX1633231|SRX1633230|SRX1633229|SRX1633228|SRX1633227|SRX1633226|SRX1633225|SRX1633224|SRX1633223|SRX1633222|SRX1633221|SRX1633220|SRX1633219|SRX1633218|SRX1633217|SRX1633216|SRX1633215|SRX1633214|SRX1633213|SRX1633211|SRX1633210|SRX1633209|SRX1633208|SRX1633207|SRX1633206|SRX1633205|SRX1633204|SRX1633203|SRX1633202|SRX1633201|SRX1633200|SRX1633199|SRX1633198|SRX1633197|SRX1633196|SRX1633195|SRX1633194|SRX1633193|SRX1633192|SRX1633191|SRX1633190|SRX1633189|SRX1633188|SRX1633187|SRX1633186|SRX1633185|SRX1633184|SRX1633183|SRX1633182|SRX1633181|SRX1633180|SRX1633179|SRX1633178|SRX1633176|SRX1633175|SRX1633174|SRX1633173|SRX1633172|SRX1633170|SRX1633169|SRX1633168|SRX1633167|SRX1633166|SRX1633165|SRX1633164|SRX1633163|SRX1633162|SRX1633161|SRX1633160|SRX1633159|SRX1633158|SRX1633157|SRX1633156|SRX1633155|SRX1633154|SRX1633153|SRX1633152|SRX1633151|SRX1633150|SRX1633149|SRX1633148|SRX1633147|SRX1633146|SRX1633145|SRX1633144|SRX1633143|SRX1633142|SRX1633141|SRX1633140|SRX1633139|SRX1633138|SRX1633137|SRX1633136|SRX1633135|SRX1633134|SRX1633133|SRX1633132|SRX1633131|SRX1633130|SRX1633129|SRX1633128|SRX1633127|SRX1633126|SRX1633125|SRX1633124|SRX1633123|SRX1633122|SRX1633121|SRX1633120|SRX1633119|SRX1633118|SRX1633117|SRX1633116|SRX1633115|SRX1633114|SRX1633113|SRX1633112|SRX1633111|SRX1633110|SRX1633109|SRX1633108|SRX1633107|SRX1633106|SRX1633105|SRX1633104|SRX1633103|SRX1633102|SRX1633101|SRX1633100|SRX1633099|SRX1633098|SRX1633097|SRX1633096|SRX1633095|SRX1633094|SRX1633093|SRX1633092|SRX1633091|SRX1633090|SRX1633089|SRX1633088|SRX1633087|SRX1633086|SRX1633085|SRX1633084|SRX1633082|SRX1633081|SRX1633080|SRX1633079|SRX1633078|SRX1633077|SRX1633076|SRX1633075|SRX1633074|SRX1633073|SRX1633072|SRX1633071|SRX1633070|SRX1633069|SRX1633068|SRX1633067|SRX1633066|SRX1633065|SRX1633064|SRX1633062|SRX1633061|SRX1633060|SRX1633059|SRX1633058|SRX1633057|SRX1633056|SRX1633055|SRX1633054|SRX1633053|SRX1633052|SRX1633051|SRX1633050|SRX1633049|SRX1633048|SRX1633047|SRX1633046|SRX1633045|SRX1633044|SRX1633043|SRX1633042|SRX1633041|SRX1633040|SRX1633039|SRX1633038|SRX1633037|SRX1633036|SRX1633035|SRX1633034|SRX1633033|SRX1633032|SRX1633031|SRX1633030|SRX1633029|SRX1633028|SRX1633027|SRX1633026|SRX1633025|SRX1633024|SRX1633023|SRX1633022|SRX1633021|SRX1633020|SRX1633019|SRX1633018|SRX1633017|SRX1633016|SRX1633015|SRX1633014|SRX1633013|SRX1633012|SRX1633011|SRX1633010|SRX1633009|SRX1633008|SRX1633007|SRX1633006|SRX1633005|SRX1633004|SRX1633003|SRX1633002|SRX1633001|SRX1633000|SRX1632999|SRX1632998|SRX1632997|SRX1632996|SRX1632995|SRX1632994|SRX1632993|SRX1632992|SRX1632991|SRX1632990|SRX1632989|SRX1632988|SRX1632987|SRX1632986|SRX1632985|SRX1632984|SRX1632983|SRX1632982|SRX1632981|SRX1632980|SRX1632979|SRX1632978|SRX1632977|SRX1632976|SRX1632975|SRX1632974|SRX1632973|SRX1632972|SRX1632971|SRX1632970|SRX1632969|SRX1632968|SRX1632967|SRX1632966|SRX1632965|SRX1632963|SRX1632962|SRX1632961|SRX1632960|SRX1632959|SRX1632958|SRX1632956|SRX1632955|SRX1632954|SRX1632953|SRX1632952|SRX1632951|SRX1632950|SRX1632949|SRX1632948|SRX1632947|SRX1632946|SRX1632945|SRX1632944|SRX1632943|SRX1632942|SRX1632941|SRX1632940|SRX1632939|SRX1632938|SRX1632937|SRX1632936|SRX1632935|SRX1632934|SRX1632933|SRX1632932|SRX1632931|SRX1632930|SRX1632929|SRX1632928|SRX1632927|SRX1632926|SRX1632925|SRX1632924|SRX1632923|SRX1632922|SRX1632921|SRX1632920|SRX1632919|SRX1632918|SRX1632917|SRX1632916|SRX1632915|SRX1632914|SRX1632913|SRX1632912|SRX1632911|SRX1632910|SRX1632909|SRX1632908|SRX1632907|SRX1632906|SRX1632905|SRX1632904|SRX1632903|SRX1632902|SRX1632901|SRX1632900|SRX1632899|SRX1632897|SRX1632896|SRX1632895|SRX1632894|SRX1632893|SRX1632892|SRX1632891|SRX1632890|SRX1632889|SRX1632888|SRX1632887|SRX1632886|SRX1632885|SRX1632884|SRX1632883|SRX1632882|SRX1632881|SRX1632880|SRX1632879|SRX1632878|SRX1632877|SRX1632876|SRX1632875|SRX1632874|SRX1632873|SRX1632872|SRX1632871|SRX1632870|SRX1632869|SRX1632868|SRX1632867|SRX1632866|SRX1632865|SRX1632864|SRX1632863|SRX1632862|SRX1632861|SRX1632860|SRX1632859|SRX1632858|SRX1632857|SRX1632856|SRX1632855|SRX1632854|SRX1632853|SRX1632852|SRX1632851|SRX1632850|SRX1632849|SRX1632848|SRX1632847|SRX1632846|SRX1632845|SRX1632844|SRX1632843|SRX1632842|SRX1632841|SRX1632840|SRX1632839|SRX1632838|SRX1632837|SRX1632836|SRX1632835|SRX1632834|SRX252908|SRX252907|SRX252906|SRX252905|SRX252904|SRX252903|SRX252902|SRX252901|SRX252900|SRX252899|SRX252898|SRX252897|SRX252896|SRX252895|SRX252894|SRX252893|SRX252892|SRX252891|SRX252890|SRX252889|SRX252888|SRX252887|SRX252886|SRX252885|SRX252884|SRX252883|SRX252882|SRX252881|SRX252880|SRX252879|SRX252878|SRX252877|SRX252876|SRX252875|SRX252874|SRX252873|SRX252872|SRX252871|SRX252870|SRX252869|SRX252868|SRX252867|SRX252866|SRX252865|SRX252864|SRX252863|SRX252862|SRX252861|SRX252860|SRX252859|SRX112542|SRX112526|SRX031615|SRX017226","The transcriptomes of Pinus|Raw sequence reads from Danish species|Sequencing PINUS CONTORTA|Pinus contorta CO500 Transcriptome - PcontortaCO500|Lodgepole pine and jack pine stem tissue transcriptomes|Population genomic sequencing of Lodgepole pine (Pinus contorta) and interior spruce (Picea glauca, Picea engelmannii and their hybrids) using targeted sequence capture.|Lodgepole pine (Pinus contorta) and interior spruce (Picea glauca, Picea engelmannii and their hybrids) Transcriptome or Gene expression|Lodgepole|Genomics-Enhanced Forecasting Tools to Secure Canada's Near-Term Lignocellulosic Feedstock Supply for Bioenergy using the Mountain Pine Beetle-Pinus spp. System|Transcriptome sequencing in an ecologically important tree species: assembly, annotation, and marker discovery","Pinus contorta"
"Pinus coulteri","SRX10204117|SRX10204116|SRX5842737","The transcriptomes of Pinus|Pinus subsection Ponderosae phylogeny using low copy nuclear genes","Pinus coulteri"
"Pinus culminicola","SRX10204120|SRX10204119|SRX9082364|SRX9082333|SRX9082331","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus culminicola"
"Pinus chiapensis","SRX10204109|SRX10204108","The transcriptomes of Pinus","Pinus chiapensis"
"Pinus devoniana","SRX10204130|SRX10204128|SRX6060515","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus devoniana"
"Pinus douglasiana","SRX10204134|SRX10204133","The transcriptomes of Pinus","Pinus douglasiana"
"Pinus durangensis","SRX10204136|SRX10204135","The transcriptomes of Pinus","Pinus durangensis"
"Pinus edulis|Pinus edulis var. fallax","SRX10204141|SRX10204139|SRX9082363|SRX9082326|SRX9082322","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus edulis"
"Pinus engelmannii","SRX10204145|SRX10204144|SRX5842719","The transcriptomes of Pinus|Pinus subsection Ponderosae phylogeny using low copy nuclear genes","Pinus engelmannii"
"Pinus flexilis","SRX10204152|SRX10204150|SRX9344345|SRX9344344|SRX9344343|SRX9344342|SRX9344341|SRX9344340|SRX9344339|SRX9344337|SRX9344336|SRX9344335|SRX9344334|SRX9344333|SRX9344332|SRX9344320|SRX9344319|SRX9344318|SRX9344317|SRX9344316|SRX9344168|SRX9344167|SRX9344166|SRX9344165|SRX9344164|SRX9344163|SRX9344162|SRX9344161|SRX9343985|SRX9343984|SRX6768295|SRX6768294|SRX6768293|SRX6768292|SRX6768291|SRX6768290|SRX6768289|SRX6768288|SRX6768287|SRX6768286|SRX6768285|SRX6768284|SRX6768283|SRX6768282|SRX6768281|SRX6768280|SRX6768279|SRX6768278|SRX6768277|SRX6768276|SRX6768275|SRX6768274|SRX6768273|SRX6768272|SRX6768271|SRX6768270|SRX6768269|SRX6768268|SRX6768267|SRX6768266|SRX6768265|SRX6768264|SRX6768263|SRX3427260|SRX3427259|SRX3427258|SRX3427257|SRX3427234|SRX3427233|SRX3427224|SRX3427223|SRX3427222|SRX3427221|SRX3427220|SRX3427219|SRX3427218|SRX3427216|SRX3427215|SRX3427214|SRX3427213|SRX3427212|SRX3427211|SRX3427210|SRX3427209|SRX3427198|SRX3427197|SRX3427186|SRX3427185|SRX3427184|SRX3427183|SRX3427182|SRX3427181|SRX3427180|SRX3427179|SRX3427178|SRX3427177|SRX3427135|SRX3427122|SRX3427119|SRX3427113|SRX3427112|SRX3427111|SRX3427100|SRX3427097|SRX3427096|SRX3426987|SRX3426986|SRX3426985|SRX3426984|SRX3426983|SRX3426982|SRX3426981|SRX3426980|SRX3426979|SRX3426978|SRX3426967|SRX3426966|SRX3426965|SRX3426964|SRX3426963|SRX3426962|SRX3426961|SRX3426960|SRX3426949|SRX3426948|SRX3426947|SRX3426867|SRX3426866|SRX3426864|SRX3426863|SRX3426862|SRX3426861|SRX3426860|SRX3426859|SRX3426858|SRX3426857|SRX3426856|SRX3426845|SRX3426844|SRX3426843|SRX3426842|SRX3426841|SRX3426840|SRX3426839|SRX3426838|SRX1651551|SRX645415|SRX645398","The transcriptomes of Pinus|Adaptive introgression in a conifer hybrid zone is driven by a mosaic of recently introgressed and background genetic variants|Pinus flexilis Raw sequence reads|The role of hybridization during ecological divergence of southwestern white pine (Pinus strobiformis) and limber pine (P. flexilis)|Pinus flexilis Transcriptome or Gene expression","Pinus flexilis"
"Pinus georginae","SRX10204153|SRX6060630|SRX6060629","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus georginae"
"Pinus greggii","SRX10204160|SRX10204159|SRX10204158|SRX6060633|SRX6060603|SRX6060602|SRX6060594|SRX6060593|SRX6060592|SRX6060591|SRX6060590|SRX6060589|SRX6060588|SRX6060587|SRX6060586|SRX6060585|SRX6060584|SRX6060579|SRX6060578|SRX6060577|SRX6060576|SRX6060575|SRX6060574|SRX6060573|SRX6060572|SRX6060571|SRX6060570|SRX6060569|SRX6060568|SRX6060567|SRX6060566|SRX6060565|SRX6060564|SRX6060563|SRX6060562|SRX6060546|SRX6060542|SRX6060540|SRX6060539|SRX6060505|SRX6060504|SRX6060503|SRX6060502","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus greggii"
"Pinus hartwegii var. rudis|Pinus hartwegii","SRX10204287|SRX10204286|SRX10204165|SRX10204164","The transcriptomes of Pinus","Pinus hartwegii"
"Pinus jaliscana","SRX10204172|SRX6060636|SRX6060635","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus jaliscana"
"Pinus jeffreyi","SRX10204175|SRX10204174|SRX6261329|SRX5842736|SRX5842735|SRX5842703|SRX5842702|SRX5842680|SRX5842679|SRX5842678|SRX5842677|SRX5842674|ERX2099895","The transcriptomes of Pinus|Sequencing PINUS JEFFREYI|Pinus subsection Ponderosae phylogeny using low copy nuclear genes|1000 Plant (1KP) Transcriptomes: The Remaining Data","Pinus jeffreyi"
"Pinus lambertiana","SRX10204179|SRX10204178|SRX6261330|SRX2629912|SRX1938944|SRX1938943|SRX1938942|SRX1938941|SRX1938940|SRX1938939|SRX1925146|SRX1925145|SRX1925144|SRX1925143|SRX1925142|SRX1925141|SRX1925140|SRX1925139|SRX1925138|SRX1925137|SRX1925136|SRX1925135|SRX1925134|SRX1925133|SRX1925132|SRX1925131|SRX1925130|SRX1925129|SRX1925128|SRX1925127|SRX1925126|SRX1925125|SRX1925124|SRX1925123|SRX1925122|SRX1925121|SRX1925120|SRX1881692|SRX1881325|SRX1881324|SRX1881323|SRX1881322|SRX1881321|SRX1881320|SRX1881319|SRX1881318|SRX1880749|SRX1872228|SRX1872227|SRX1872226|SRX1872225|SRX1872224|SRX1871954|SRX1871953|SRX1871952|SRX1871951|SRX1871950|SRX1871949|SRX1871948|SRX1871947|SRX1871946|SRX1871945|SRX1871944|SRX1871943|SRX1871942|SRX1871941|SRX1871940|SRX1871939|SRX1871938|SRX1871937|SRX1871936|SRX1871935|SRX1871934|SRX1871933|SRX1871932|SRX1871931|SRX1871930|SRX1871929|SRX1871928|SRX1871927|SRX1870405|SRX1858748|SRX1858746|SRX1856645|SRX1028828|SRX1028839|SRX1028838|SRX1028837|SRX1028836|SRX1028835|SRX1028834|SRX1028833|SRX1028832|SRX1028831|SRX1028830|SRX1028829|SRX1028827|SRX1028826|SRX1028825|SRX1028824|SRX1028823|SRX1028822|SRX1028821|SRX1028820|SRX1028819|SRX1028818|SRX1028817|SRX1028816|SRX1028815|SRX1028814|SRX1028813|SRX1028812|SRX1028811|SRX025800","The transcriptomes of Pinus|Sequencing PINUS LAMBERTIANA|Pinus taeda Genome sequencing|DOE Joint Genome Institute Pinus lambertiana EST project","Pinus lambertiana"
"Pinus leiophylla|Pinus leiophylla var. chihuahuana","SRX10204186|SRX10204185|SRX6060550|SRX6060545|SRX6060544|SRX6060543|SRX6060537|SRX6060536|SRX6060534","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus leiophylla"
"Pinus lumholtzii","SRX10204192|SRX10204191|SRX6060626|SRX6060551|SRX6060541","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus lumholtzii"
"Pinus luzmariae","SRX10204194|SRX10204193|SRX6060553|SRX6060552","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus luzmariae"
"Pinus maximartinezii","SRX10204203|SRX10204202|SRX9082357|SRX9082356|SRX9082355","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus maximartinezii"
"Pinus maximinoi","SRX10204205|SRX10204204|SRX6060583","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus maximinoi"
"Pinus monophylla","SRX10204216|SRX10204208|SRX9082351|SRX9082350|SRX9082349|SRX9082348|SRX9082347|SRX9082332","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus monophylla"
"Pinus montezumae","SRX10204218|SRX10204217","The transcriptomes of Pinus","Pinus montezumae"
"Pinus muricata","SRX10204224|SRX10204223|SRX6261332|SRX6060557|SRX6060556|SRX6060555|SRX6060554","The transcriptomes of Pinus|Sequencing PINUS MURICATA|Multiple species from the pine family Raw sequence reads","Pinus muricata"
"Pinus nelsonii","SRX10204225|SRX9082362|SRX9082361|SRX6060513","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus nelsonii"
"Pinus oocarpa","SRX10204231|SRX10204230|SRX10204229|SRX6060606|SRX6060561|SRX6060560|SRX6060558","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus oocarpa"
"Pinus patula|Pinus patula var. longipedunculata|Pinus patula var. patula","SRX10204239|SRX9707937|SRX9707936|SRX9707935|SRX9707934|SRX9707933|SRX9707932|SRX9707931|SRX9707930|SRX9707929|SRX9707928|SRX9707927|SRX9707926|SRX9707925|SRX9707924|SRX9707923|SRX9707922|SRX9707921|SRX9707920|SRX9707919|SRX9707918|SRX9707917|SRX9707916|SRX9707915|SRX9707914|SRX6060645|SRX6060644|SRX6060643|SRX6060642|SRX6060641|SRX6060640|SRX6060639|SRX6060638|SRX6060637|SRX6060625|SRX6060624|SRX6060623|SRX6060622|SRX6060620|SRX6060619|SRX6060618|SRX6060613|SRX6060612|SRX6060611|SRX6060610|SRX6060609|SRX6060608|SRX6060605|SRX6060604|SRX6060595|SRX6060538|SRX3353521|SRX3353520|SRX3353519|SRX3353518|SRX3353517|SRX3353516|SRX3353515|SRX3353514|SRX3353513|SRX3353512|SRX3353511|SRX3353510|SRX3353509|SRX1427157|SRX1427156|SRX1427155|SRX1427154|SRX1427153|SRX1427152","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads|Pinus patula Transcriptome or Gene expression|Pinus patula juvenile shoot transcriptome","Pinus patula"
"Pinus pinceana","SRX10204247|SRX10204246|SRX10204245|SRX9082353|SRX9082352|SRX6060509","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus pinceana"
"Pinus ponderosa|Pinus ponderosa var. scopulorum|Pinus ponderosa var. benthamiana|Pinus ponderosa var. washoensis","SRX10271460|SRX10271459|SRX10271458|SRX10271457|SRX10271456|SRX10204260|SRX10204258|SRX10204257|SRX10204256|SRX10204253|SRX10204252|SRX10204251|SRX10204098|SRX10204097|SRX8861195|SRX5842745|SRX5842743|SRX5842742|SRX5842741|SRX5842734|SRX5842733|SRX5842729|SRX5842727|SRX5842722|SRX5842721|SRX5842720|SRX5842717|SRX5842716|SRX5842700|SRX5842697|SRX5842687|SRX5842673|SRX5532197|SRX5532196|SRX4198500|ERX2099894|SRX014024","Identifying genetic variation associated with environmental variation and drought-tolerance phenotypes in ponderosa pine|The transcriptomes of Pinus|DNA barcoding tallgrass prairie plants|Pinus subsection Ponderosae phylogeny using low copy nuclear genes|Test Pipelines for Genome-Wide SNP Calling from Genotyping-By-Sequencing (GBS) Data for Pinus ponderosa|Samples of Pinus subsection Ponderosae Targeted loci|1000 Plant (1KP) Transcriptomes: The Remaining Data|Pinus Chloroplast Genomes","Pinus ponderosa"
"Pinus praetermissa","SRX10204262|SRX10204261|SRX6060621|SRX6060617|SRX6060616","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus praetermissa"
"Pinus pringlei","SRX10204264|SRX10204263|SRX6060523|SRX6060521|SRX6060520","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus pringlei"
"Pinus pseudostrobus|Pinus pseudostrobus var. apulcensis","SRX10204268|SRX10204267|SRX10204266|SRX10204265|SRX6444925|SRX6444919|SRX6444914|SRX6444910|SRX6444886|SRX6444880","The transcriptomes of Pinus|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS four parts|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS three parts|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS six parts|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS|IDENTIFICATION OF WOODEN SPECIES THROUGH GENETIC MARKERS five parts","Pinus pseudostrobus"
"Pinus quadrifolia","SRX10204275|SRX9082346|SRX9082345|SRX9082344|SRX9082343|SRX9082342","The transcriptomes of Pinus|Multiple species from the pine family Raw sequence reads","Pinus quadrifolia"
